unique_id;name;strasse_nr;art;lieferung;fon;name_street;fon_place_id;name_place_id
226;"Restaurant ""Zum Torhaus""";Nordendstraße 46;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+49309166114;"Restaurant ""Zum Torhaus"" Nordendstraße 46";['ChIJ04qUHVZSqEcRtR0l2NxhrUw'];['ChIJ04qUHVZSqEcRtR0l2NxhrUw']
1097;Gegessen wird immer;Hertzstraße 71;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+493022013792;Gegessen wird immer Hertzstraße 71;['ChIJd0zLuONNqEcR_cpOfmo09YM'];['ChIJ5TOxzKVTqEcRnv7ASPP-WE0']
24;Café Steckenpferd;Hauptstraße 35;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+491723930063;Café Steckenpferd Hauptstraße 35;['ChIJjelhCthSqEcRLcw0ZsusVj0'];['ChIJjelhCthSqEcRLcw0ZsusVj0']
264;FRANZ Kuchen und Speisen;Florastraße 25;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+4930400409562;FRANZ Kuchen und Speisen Florastraße 25;[];['ChIJ7VmGNmtSqEcRWw9TuHj4VSU']
95;Cafe Schön & Gut;Neue Schönholzer Straße 2;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+493065839337;Cafe Schön & Gut Neue Schönholzer Straße 2;['ChIJFc6RQmpSqEcR3Jh2BcygV0c'];['ChIJFc6RQmpSqEcR3Jh2BcygV0c']
470;Café Genüsslich;Heynstraße 33;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+4915124228680;Café Genüsslich Heynstraße 33;['ChIJHwGOfm9TqEcRnelD61X8XM8'];['ChIJHwGOfm9TqEcRnelD61X8XM8']
245;Athena Roma;Jenny-Lind-Straße 7;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+493040106840;Athena Roma Jenny-Lind-Straße 7;['ChIJxVVL6PdNqEcRI7g8XiPtjh0'];['ChIJxVVL6PdNqEcRI7g8XiPtjh0']
280;Pizzeria Allegro;Reinickendorfer Straße 8;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+49304617045;Pizzeria Allegro Reinickendorfer Straße 8;[];['ChIJJVuj78JRqEcRi_Wn-6kH1tk']
306;Restaurant Schraders;Malplaquetstraße 16b;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+493045082663;Restaurant Schraders Malplaquetstraße 16b;['ChIJkcRr59RTqEcRtGrBkHJ-izU'];['ChIJkcRr59RTqEcRtGrBkHJ-izU']
232;Herr Ribisel Catering GmbH;Schulstraße 24;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+491636938858;Herr Ribisel Catering GmbH Schulstraße 24;['ChIJd2c_QSpSqEcR23sRR8RQkZs'];['ChIJd2c_QSpSqEcR23sRR8RQkZs']
