;name;city;bezirk;street_nr;lat;lng;types;business_status;price_level;rating;user_ratings_total
ChIJmzyTT0JSqEcRxQ_OAeRK-Ek;Sushi For You Pankow;Berlin;Bezirk Pankow;Grabbeallee 17;52.57289340000001;13.3986553;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;2;3.5;169
ChIJD-PcdL5PqEcR1khkYKjKq0A;The Commons Restaurant Berlin;Berlin;Mitte;Alexanderstraße 40;52.5165888;13.4177083;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;;4.1;30
ChIJ2TqBc1lPqEcRpPfYZIPHrMY;YADA YADA baked potatoes,salads...and more;Berlin;Mitte;Kommandantenstraße 71;52.5084675;13.4035557;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;;5;8
ChIJGcZbblBOqEcR5cTGTkNfGlw;Michelberger Hotel;Berlin;Bezirk Friedrichshain-Kreuzberg;Warschauer Straße 39-40;52.5045958;13.4478806;['night_club', 'cafe', 'lodging', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;;4.4;1662
ChIJGcZbblBOqEcR9A85JuJ7yYA;Michelberger Booze Company Ltd.;Berlin;Bezirk Friedrichshain-Kreuzberg;Warschauer Straße 39;52.5045448;13.4479436;['point_of_interest', 'establishment'];OPERATIONAL;;;0
ChIJn-EIb1BOqEcRWIuoaTbw6f4;Michelberger Restaurant;Berlin;Bezirk Friedrichshain-Kreuzberg;Warschauer Straße 39;52.50465500000001;13.447917;['restaurant', 'food', 'point_of_interest', 'establishment'];CLOSED_TEMPORARILY;;4.3;300
ChIJ17EosS1PqEcRG7Rit-l2brI;Tony Roma's;Germany;Berlin;Bezirk Friedrichshain-Kreuzberg Berlin;52.5051914;13.4431223;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;3;4.4;1691
ChIJaeRNwk1PqEcR2_rp-a7TVAw;Rice Rolls Berlin;Berlin;Bezirk Friedrichshain-Kreuzberg;Straße der Pariser Kommune 27;52.5154;13.43977;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;;4.4;32
ChIJqbpNxEZOqEcRViO_0U4FCEc;Volkskammer;Germany;Berlin;Bezirk Friedrichshain-Kreuzberg Berlin;52.511211;13.438171;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;2;4.3;1177
ChIJGVFYHEdOqEcRuDtQc6X8cCw;McDonald's;Berlin;Bezirk Friedrichshain-Kreuzberg;Am Ostbahnhof 9;52.50976089999999;13.4346905;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;2;2.8;770
ChIJ7RI7dEJOqEcRpkX4ETY_pTY;Fleischerei Neuling;Berlin;Bezirk Friedrichshain-Kreuzberg;Karl-Marx-Allee 108;52.5163722;13.4454861;['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment'];OPERATIONAL;;4.1;86
ChIJ38sGoF1OqEcR0Ow2JvpOo2E;LION BURGER;Berlin;Bezirk Friedrichshain-Kreuzberg;Warschauer Straße 82;52.5143861;13.4538898;['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment'];CLOSED_TEMPORARILY;2;4.5;749
ChIJsUNkReVRqEcRNZeEqYNxs8I;Manifest Taproom;Berlin;Bezirk Pankow;Oderberger Straße 15;52.5393294;13.4084481;['bar', 'restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;;5;49
ChIJ0WmXlj5PqEcRn-lYcMja1Ok;Yotam Perets;Berlin;Bezirk Friedrichshain-Kreuzberg;Köpenicker Straße 1A;52.5015037;13.4417158;['point_of_interest', 'establishment'];OPERATIONAL;;5;1
ChIJsXeZNFlOqEcRwpkdUdGm43g;Café Datscha Friedrichshain;Berlin;Bezirk Friedrichshain-Kreuzberg;Gabriel-Max-Straße 1;52.50928810000001;13.4580209;['restaurant', 'cafe', 'bar', 'food', 'point_of_interest', 'establishment'];CLOSED_TEMPORARILY;2;4.3;1981
ChIJOTQkx15OqEcR4xkt2tIj6Xc;papaya thai cuisine am boxhagener;Berlin;Bezirk Friedrichshain-Kreuzberg;Krossener Straße 11;52.5107199;13.4580669;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;2;4.4;521
ChIJ4RI-BPdOqEcRv4SVU_GFofA;KLEiNES SONNTAG;Berlin;Bezirk Friedrichshain-Kreuzberg;Sonntagstraße 29;52.5058322;13.4659434;['cafe', 'food', 'point_of_interest', 'establishment'];CLOSED_TEMPORARILY;;4.8;92
ChIJDxAqOPFOqEcR7KqNK4K2uuA;Kärrecho;Germany;Berlin;Bezirk Friedrichshain-Kreuzberg Berlin;52.5068344;13.4704659;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;;4.6;404
ChIJGayp0F5OqEcRr83cz2j1cwM;Lisboa Bar am Boxi;Berlin;Bezirk Friedrichshain-Kreuzberg;Krossener Straße 20;52.5103529;13.4591058;['bar', 'restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;2;4.4;582
ChIJra4mkCVPqEcRhDAM_qnVkOI;Restaurant U&P;Berlin;Bezirk Friedrichshain-Kreuzberg;Sonntagstraße 26;52.5062648;13.4653725;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;;5;1
ChIJ2c3KyF5OqEcRIYVxKgKuu-M;Neumanns Café;Berlin;Bezirk Friedrichshain-Kreuzberg;Gabriel-Max-Straße 18;52.5103541;13.4580873;['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment'];OPERATIONAL;2;4.4;483
ChIJ-QxEwV5OqEcRmvijfn9uHY0;Balaram;Berlin;Bezirk Friedrichshain-Kreuzberg;Gabriel-Max-Straße 17;52.5108572;13.4583628;['restaurant', 'food', 'point_of_interest', 'store', 'establishment'];OPERATIONAL;2;4.4;180
ChIJF-e_uV5OqEcRnIN4zvoBCIA;Goura Pakora;Berlin;Bezirk Friedrichshain-Kreuzberg;Krossener Straße 16;52.51062719999999;13.4573289;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;2;4.2;383
ChIJBXdENqMapEcRRhl6JHPWO-A;GOURA PAKORA vegetarian catering;Thüringen;WE;Schwanseestraße 92;50.9843726;11.3037774;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;;4.7;3
ChIJz51-1vBOqEcRc_xSIfUjoh4;Straßenbräu;Berlin;Bezirk Friedrichshain-Kreuzberg;Neue Bahnhofstraße 30;52.50556950000001;13.4694636;['bar', 'restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;;4.6;437
ChIJvRq-0FtOqEcRdPMufKKeQ-w;SubHero Berlin;Berlin;Bezirk Friedrichshain-Kreuzberg;Revaler Straße 11;52.508177;13.4540562;['meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;;4.6;84
ChIJT8y0vfBOqEcRZ2A2Tn_ZnjM;McDonald's;Germany;Berlin;Bezirk Friedrichshain-Kreuzberg Berlin;52.50384839999999;13.4695313;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;2;3.5;2410
ChIJ6fsDQaZPqEcR3-HLPypeKhc;esswirtschaft fernsehwerft;Berlin;Bezirk Friedrichshain-Kreuzberg;Stralauer Allee 7;52.4999047;13.4549848;['point_of_interest', 'establishment'];OPERATIONAL;;1;1
ChIJ_-u_slFOqEcRc0jMpzKA48c;Scheers schnitzel;Berlin;Bezirk Friedrichshain-Kreuzberg;Warschauer Platz 18;52.50284750000001;13.4473391;['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;1;4.5;1496
ChIJgwSNNvdOqEcRbRgJFv8hHwI;Burgers Berlin;Berlin;Bezirk Friedrichshain-Kreuzberg;Sonntagstraße 2;52.5047222;13.4677778;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;;4.5;844
ChIJZ6hpXvVOqEcRNwgtDIFyric;Kernvoll GmbH - veganes Bio-Catering / vegane Events;Berlin;Bezirk Friedrichshain-Kreuzberg;Samariterstraße 34;52.51611559999999;13.4647876;['food', 'point_of_interest', 'clothing_store', 'store', 'establishment'];OPERATIONAL;;5;24
ChIJZ8hhqF9OqEcRSyKqvVR7zl8;Eatalian Berlin;Berlin;Bezirk Friedrichshain-Kreuzberg;Mainzer Straße 14;52.512299;13.4614532;['grocery_or_supermarket', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment'];OPERATIONAL;1;4.3;543
ChIJo9YOY4pOqEcRagWIzFHfpKU;Trattoria Da Dino;Berlin;Bezirk Friedrichshain-Kreuzberg;Schreinerstraße 44;52.5170081;13.4679699;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;2;4.4;338
ChIJt9_aL2BOqEcRFvSKK1Dyy5I;Sai Baba;Berlin;Bezirk Friedrichshain-Kreuzberg;Rigaer Straße 75;52.51637700000001;13.465654;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;1;4.5;248
ChIJ8Wkub15OqEcRTVsVWG2g4Q8;Friedrichs Wirtschaft;Berlin;Bezirk Friedrichshain-Kreuzberg;Niederbarnimstraße 16;52.513245;13.4585943;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;2;4.7;131
