,name,strasse_nr,bezirk,lat,lng,types,delivery,franchise,food_type,price_lvl,nr_ratings,rating,angebot
955,Restaurant Bastard,Reichenberger Straße 122,Friedrichshain-Kreuzberg,52.49534999999999,13.43189,"['restaurant', 'meal_takeaway', 'food', 'point_of_interest', 'store', 'establishment']",True,False,['kuchen'],Moderate,844,4.4,"Frühstück, Porridge, Brunch, Kuchen, selbstgebackenes Brot,Weine"
352,Miss Saigon Restaurant,Skalitzerstraße 38,Friedrichshain-Kreuzberg,52.4987214,13.4265186,"['restaurant', 'food', 'point_of_interest', 'establishment']",False,False,"['vegan', 'vegetarisch']",Inexpensive,847,4.4,"Original südvietnamesische Küche. Gekocht nach altem, traditionellem Rezept. Vegan, vegetarisch, laktosefrei."
739,Cafe Rix,Karl-Marx-Straße 141 / im Saalbau Neukölln,Neukölln,52.47698159999999,13.439261,"['restaurant', 'meal_takeaway', 'cafe', 'food', 'point_of_interest', 'store', 'establishment']",True,False,['deutsch'],Moderate,502,4.2,"Deutsche und mediterrane Küche, Angebot auf unserer Website"
604,Balera Weinhandlung,Karl-Marx-Platz 6,Neukölln,52.473589,13.4417472,"['bar', 'food', 'point_of_interest', 'establishment']",True,False,[],Unknown,65,4.5,Wein aus Italien
81,Restaurant Vorwerck,Karl-Marx-Straße 131,Neukölln,52.4775732,13.4393518,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",True,False,['deutsch'],Unknown,141,4.7,Deutsch/Spanische Küche
215,Trattoria Vigata,Innstraße 47,Neukölln,52.483219,13.446782,"['restaurant', 'food', 'point_of_interest', 'establishment']",False,False,['pizza'],Unknown,136,4.4,"Pizza, Tiramisú"
746,Crazy Bastard Sauce,Weserstraße 168,Neukölln,52.483585,13.440777,"['restaurant', 'food', 'point_of_interest', 'establishment']",True,False,['burger'],Unknown,139,4.7,"Abhol- und Lieferdienst mit chilisaucen, burgers, fish & Chips, Britische Süßigkeiten."
1186,cafe tschüsch,Fuldastraße 12,Neukölln,52.484103,13.436534,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",True,False,"['vegan', 'vegetarisch', 'suppe', 'salat', 'regional', 'kaffee']",Inexpensive,220,4.5,"alternative indian futurefood, vegan & vegetarisch, Currys, Suppen, Salate, Desserts, solidarisch / regional / ökologisch gehandelte & produzierte  Getränke, Eiskaffees & Paletas, uvm!"
1137,Amore Store,Sanderstraße 12,Neukölln,52.4924021,13.4263757,"['grocery_or_supermarket', 'home_goods_store', 'food', 'point_of_interest', 'store', 'establishment']",True,False,['italienisch'],Unknown,28,4.5,"Das Sortiment besteht aus italienischen Lebensmitteln, landestypischen Küchenutensilien und bunten Wohnaccessoires: von sizilianischer Schokolade, Fenchel-Salami vom Gardasee, saftigem Panettone aus Mailand bis hin zur roten Parmesanreibe von Rigamonti."
1066,Pan Africa Restaurant & Catering,Kirchhofstraße 41,Neukölln,52.4723771,13.442773,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",True,False,[],Moderate,216,4.1,"Afrikanische Speisen und Getränke, Restaurant, Lieferservice und Catering"
1238,Pan Africa restaurant,"Kirchhof Straße 41,12055 Berlin",Neukölln,52.4723771,13.442773,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",True,False,[],Moderate,216,4.1,Hi
1008,Aapka - Restaurant,Maybachufer 23,Neukölln,52.493252,13.428404,"['meal_takeaway', 'cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",True,False,['indisch'],Moderate,510,4.0,Indisches Restaurant und Grills aus dem Tandoorofen
661,Populus Coffee,Maybachufer 20,Neukölln,52.49369,13.42704,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",False,False,[],Moderate,201,4.4,Specialty coffee roastery and a cafe offering freshly roasted beans from some of the best producers in the world.
154,Geist im Glas,Lenaustraße 27,Neukölln,52.490117,13.424802,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",True,False,[],Moderate,581,4.2,"American Brunch, Breakfast, Cocktails"
527,Café Kanel,Schillerpromenade25,Neukölln,52.4735859,13.423348,"['cafe', 'bakery', 'food', 'point_of_interest', 'store', 'establishment']",False,False,"['vegan', 'kaffee']",Moderate,132,4.5,Traditidionelle und vegane Backwaren und Kaffeespezialitäten
210,La Pecora Nera,Herrfurthplatz 6,Neukölln,52.47722219999999,13.4211111,"['restaurant', 'food', 'point_of_interest', 'establishment']",False,False,['italienisch'],Moderate,329,4.4,Italienisches Restaurant
