;unique_id;name;strasse_nr;art;lieferung;fon;place_id;bezirk;lat;lng;types;price_level;rating;user_ratings_total
105;600;LION BURGER;Warschauer Straße 82;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+493029047619;ChIJ38sGoF1OqEcR0Ow2JvpOo2E;Bezirk Friedrichshain-Kreuzberg;52.5143861;13.4538898;['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment'];2;4.5;749
106;1051;Amber;Simon dach Straße 8;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+4915145297771;ChIJlZF4oV5OqEcR06oY-ohfTJA;Bezirk Friedrichshain-Kreuzberg;52.5111114;13.4565334;['restaurant', 'food', 'point_of_interest', 'establishment'];;3.5;395
107;1053;Protokoll Taproom;Boxhagener Straße 110;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+4917660886670;ChIJbeTl111OqEcR8-I-Dg6S6Nw;Bezirk Friedrichshain-Kreuzberg;52.51324310000001;13.4570447;['bar', 'point_of_interest', 'establishment'];2;4.8;1061
108;1141;BBB Restaurant;Sonntagstraße 1;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+4915145946982;ChIJGS37NfdOqEcRY9BlDEVzTgs;Bezirk Friedrichshain-Kreuzberg;52.5045509;13.4679799;['restaurant', 'food', 'point_of_interest', 'establishment'];2;4.5;1262
109;1058;Café Datscha Friedrichshain;Gabriel-Max-Straße 1;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+493070086735;ChIJsXeZNFlOqEcRwpkdUdGm43g;Bezirk Friedrichshain-Kreuzberg;52.50928810000001;13.4580209;['restaurant', 'cafe', 'bar', 'food', 'point_of_interest', 'establishment'];2;4.3;1981
110;13;papaya am boxhagener;Krossener Straße 11;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+493029771231;ChIJOTQkx15OqEcR4xkt2tIj6Xc;Bezirk Friedrichshain-Kreuzberg;52.5107199;13.4580669;['restaurant', 'food', 'point_of_interest', 'establishment'];2;4.4;521
111;891;Café KLEiNES SONNTAG;Sonntagstraße 29;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+493093670802;ChIJ4RI-BPdOqEcRv4SVU_GFofA;Bezirk Friedrichshain-Kreuzberg;52.5058322;13.4659434;['cafe', 'food', 'point_of_interest', 'establishment'];;4.8;92
112;1250;Kärrecho;Neue Bahnhofstraße 25;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+493035510923;ChIJDxAqOPFOqEcR7KqNK4K2uuA;Berlin;52.5068344;13.4704659;['restaurant', 'food', 'point_of_interest', 'establishment'];;4.6;404
113;1263;Lisboa Bar am Boxi;Krossener Straße 20;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+493093621978;ChIJGayp0F5OqEcRr83cz2j1cwM;Bezirk Friedrichshain-Kreuzberg;52.5103529;13.4591058;['bar', 'restaurant', 'food', 'point_of_interest', 'establishment'];2;4.4;582
114;394;"Restaurant ""buergers. essen und trinken""";Alt-Stralau 61;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+4915151449894;ChIJD1RM5JRPqEcRP_v2wN_79Yc;Bezirk Friedrichshain-Kreuzberg;52.4958934;13.4677564;['restaurant', 'food', 'point_of_interest', 'establishment'];;4.5;19
115;219;Neumanns Cafe;Gabriel-Max-Straße 18;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+493081724983;ChIJ2c3KyF5OqEcRIYVxKgKuu-M;Bezirk Friedrichshain-Kreuzberg;52.5103541;13.4580873;['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment'];2;4.4;483
116;220;Goura Pakora;Krossener Straße 16;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+491799834298;ChIJF-e_uV5OqEcRnIN4zvoBCIA;Bezirk Friedrichshain-Kreuzberg;52.51062719999999;13.4573289;['restaurant', 'food', 'point_of_interest', 'establishment'];2;4.2;383
117;1182;Straßenbräu;Neue Bahnhofstraße 30;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+4917684833309;ChIJz51-1vBOqEcRc_xSIfUjoh4;Bezirk Friedrichshain-Kreuzberg;52.50556950000001;13.4694636;['bar', 'restaurant', 'food', 'point_of_interest', 'establishment'];;4.6;437
118;488;Thronburger;Neue Bahnhofstraße 7A;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+4917620937509;ChIJ-8SzJ_FOqEcR8CDHoSizzGw;Bezirk Friedrichshain-Kreuzberg;52.50580789999999;13.4701521;['restaurant', 'food', 'point_of_interest', 'establishment'];2;4.5;999
119;136;VEG'D - Vegan Burgers;Boxhagener Straße 21;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+491725412634;ChIJR8oUWdVPqEcRPHdUV07QDak;Bezirk Friedrichshain-Kreuzberg;52.5131126;13.4562244;['restaurant', 'food', 'point_of_interest', 'establishment'];;4.5;156
120;501;SubHero Berlin;Revaler Straße 11;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+493028429881;ChIJvRq-0FtOqEcRdPMufKKeQ-w;Bezirk Friedrichshain-Kreuzberg;52.508177;13.4540562;['meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'establishment'];;4.6;84
121;416;Kiez Döner persisch;Wühlischstraße 40/41;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+4915735108747;ChIJPSIup1pPqEcR25-t0o742f4;Bezirk Friedrichshain-Kreuzberg;52.5088192;13.4602767;['bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment'];;4.7;49
122;1197;LÜCK'S;Sonntagstraße 26;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+493022462198;ChIJKR5aVfZOqEcREFMNC1RyNas;Bezirk Friedrichshain-Kreuzberg;52.50634999999999;13.4653194;['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment'];2;4.9;279
123;152;McDonald's Ostkreuz;Sonntagstraße 37;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+493020050882;ChIJT8y0vfBOqEcRZ2A2Tn_ZnjM;Berlin;52.50384839999999;13.4695313;['restaurant', 'food', 'point_of_interest', 'establishment'];2;3.5;2410
124;161;esswirtschaft fernsehwerft;Stralauer Allee 7;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+4930300190141;ChIJ6fsDQaZPqEcR3-HLPypeKhc;Bezirk Friedrichshain-Kreuzberg;52.4999047;13.4549848;['point_of_interest', 'establishment'];;1;1
125;950;Scheers Schnitzel;Warschauer Straße ecke Stahlauer Allee;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+4915788948011;ChIJ_-u_slFOqEcRc0jMpzKA48c;Bezirk Friedrichshain-Kreuzberg;52.50284750000001;13.4473391;['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment'];1;4.5;1496
126;165;Burgers Berlin;Sonntagstraße 2;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+493029364069;ChIJgwSNNvdOqEcRbRgJFv8hHwI;Bezirk Friedrichshain-Kreuzberg;52.5047222;13.4677778;['restaurant', 'food', 'point_of_interest', 'establishment'];;4.5;844
127;168;Santa Cantina GmbH;Simon-Dach-Straße 22;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+493022360175;ChIJteBFYVlOqEcRtsdga4wk5ek;Berlin;52.50848750000001;13.4552677;['restaurant', 'food', 'point_of_interest', 'establishment'];2;3.9;733
128;4;Kernvoll GmbH;Samariterstraße 34;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+493055467368;ChIJZ6hpXvVOqEcRNwgtDIFyric;Bezirk Friedrichshain-Kreuzberg;52.51611559999999;13.4647876;['food', 'point_of_interest', 'clothing_store', 'store', 'establishment'];;5;24
129;1228;Eatalian;Mainzer Straße 14;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+493039480414;ChIJZ8hhqF9OqEcRSyKqvVR7zl8;Bezirk Friedrichshain-Kreuzberg;52.512299;13.4614532;['grocery_or_supermarket', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment'];1;4.3;543
130;1149;Trattoria Da Dino;Schreinerstraße 44;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+493026077156;ChIJo9YOY4pOqEcRagWIzFHfpKU;Bezirk Friedrichshain-Kreuzberg;52.5170081;13.4679699;['restaurant', 'food', 'point_of_interest', 'establishment'];2;4.4;338
