id;name;strasse_nr;bezirk;lat;lng;types;delivery;price_lvl;nr_ratings;rating
289;Der blaue Fuchs;Knaackstraße 43;Pankow;52.53589169999999;13.4162625;['bar', 'restaurant', 'food', 'point_of_interest', 'establishment'];True;Unknown;330;4.4
118;Bonanza Coffee;Oderbergerstraße 35;Pankow;52.53997499999999;13.4053444;['cafe', 'food', 'point_of_interest', 'store', 'establishment'];True;Moderate;1172;4.3
120;Bonanza Coffee;Adalbertstraße 70;Friedrichshain-Kreuzberg;52.5041618;13.4203236;['cafe', 'food', 'point_of_interest', 'store', 'establishment'];True;Moderate;1260;4.4
33;Gloria Prenzlauer Berg;Danziger Straße 17;Pankow;52.540762;13.4158457;['bar', 'restaurant', 'food', 'point_of_interest', 'establishment'];False;Moderate;294;4.4
32;Gloria Kreuzberg;Gertrud Kolmar Straße 4;Pankow;52.540762;13.4158457;['bar', 'restaurant', 'food', 'point_of_interest', 'establishment'];False;Moderate;294;4.4
563;Le Flo Französische Feinkost;Husemannstraße 16;Pankow;52.53803059999999;13.417792;['food', 'point_of_interest', 'store', 'establishment'];True;Moderate;36;4.8
213;Domu Nosta;Knaackstraße 45;Pankow;52.5360576;13.4161231;['restaurant', 'food', 'point_of_interest', 'establishment'];False;Unknown;63;4.9
965;Cenacolo;Sredzkistraße 23;Pankow;52.5386;13.4160201;['restaurant', 'food', 'point_of_interest', 'establishment'];False;Moderate;386;4.3
1181;Zum dritten Mann;Kollwitzstrße 87;Pankow;52.5383341;13.4199555;['restaurant', 'food', 'point_of_interest', 'establishment'];False;Moderate;253;4.2
56;LuisaKocht;Danzigerstraße 49;Pankow;52.54006649999999;13.4202403;['restaurant', 'food', 'point_of_interest', 'store', 'establishment'];True;Unknown;57;4.9
157;Delizie D'Italia;Kollwitzstraße 100;Pankow;52.53903949999999;13.4213887;['restaurant', 'food', 'point_of_interest', 'establishment'];True;Moderate;278;4.3
693;Biogoods;Kastanienallee 101;Pankow;52.5396869;13.4112264;['grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment'];True;Unknown;6;4.3
440;Hako Ramen Prenzlauer Berg;Kastanienallee 16;Pankow;52.538508;13.40932;['restaurant', 'food', 'point_of_interest', 'establishment'];True;Unknown;401;4.1
1139;Cafe Dodo;Duncker Straße 12;Pankow;52.5426414;13.4211537;['cafe', 'food', 'point_of_interest', 'establishment'];False;Unknown;103;4.8
1054;Wok Show;Greifenhagener Straße 31;Pankow;52.55194299999999;13.419306;['restaurant', 'food', 'point_of_interest', 'establishment'];False;Inexpensive;925;4.3
967;Restaurant Meena Kumari;Lychener Straße 9;Pankow;52.54150550000001;13.4148501;['restaurant', 'food', 'point_of_interest', 'establishment'];True;Moderate;431;4.3
1143;Cafe Meta;Am Falkplatz 1;Pankow;52.5458611;13.406075;['restaurant', 'food', 'point_of_interest', 'establishment'];False;Moderate;484;4.4
1059;Café Datscha Prenzlauer Berg;Stargarder Straße 24;Pankow;52.54502489999999;13.4212871;['restaurant', 'cafe', 'bar', 'food', 'point_of_interest', 'establishment'];True;Moderate;732;4.3
1234;HOLY FLAT!;Eberswalder Straße 22;Pankow;52.5409733;13.4111299;['restaurant', 'food', 'point_of_interest', 'establishment'];True;Unknown;109;4.6
184;BLACKBEARDS BBQ BERLIN;Pappelallee 55;Pankow;52.54688280000001;13.4182747;['restaurant', 'food', 'point_of_interest', 'establishment'];True;Unknown;774;4.4
1065;Trattoria Antichi Aromi;Greifenhagener Straße 38;Pankow;52.5520264;13.418856;['restaurant', 'food', 'point_of_interest', 'establishment'];False;Unknown;144;4.7
19;Vetzgerei;Raumerstraße 36;Pankow;52.5420316;13.4209243;['food', 'point_of_interest', 'store', 'establishment'];True;Moderate;90;4.7
193;Restaurant Burgerie;Schönhauser Allee 50;Pankow;52.542506;13.412613;['restaurant', 'food', 'point_of_interest', 'establishment'];False;Moderate;828;4.3
